Date,Open,High,Low,Close,Adj Close,Volume
13-11-2019,78.5,82.650002,77.199997,80.599998,80.599998,53302413
14-11-2019,80.199997,80.400002,77.400002,79,79,26587855
15-11-2019,82.900002,83.400002,78.900002,79.5,79.5,46353490
18-11-2019,80.199997,82.599998,78.800003,82.150002,82.150002,25361242
19-11-2019,82.300003,82.449997,80.199997,82,82,21836162
20-11-2019,81.800003,84.699997,81,83,83,32259341
21-11-2019,83,84.199997,82.150002,82.5,82.5,18297529
22-11-2019,82.449997,82.75,80.699997,81.349998,81.349998,17038464
25-11-2019,81.800003,83.650002,81.349998,83.349998,83.349998,14382133
26-11-2019,84.25,84.5,80.449997,80.800003,80.800003,22669457
27-11-2019,83,83.400002,80.800003,81.800003,81.800003,28362167
28-11-2019,82.199997,82.300003,80.900002,81.449997,81.449997,15337865
29-11-2019,81,82.099998,78.25,79.150002,79.150002,22446824
02-12-2019,78.5,80.800003,77.5,79.599998,79.599998,27354475
03-12-2019,79.75,80.099998,77.050003,77.699997,77.699997,11718674
04-12-2019,77.449997,77.900002,75.849998,77.550003,77.550003,15559207
05-12-2019,78,78.599998,76.150002,76.449997,76.449997,12040850
06-12-2019,76.900002,77.199997,75.650002,76.5,76.5,13925691
09-12-2019,76.400002,78.25,75.949997,77.349998,77.349998,14167910
10-12-2019,77.199997,77.699997,76.150002,76.849998,76.849998,9784165
11-12-2019,76.5,77.800003,75.199997,76.5,76.5,10109346
12-12-2019,77.099998,78.949997,76.349998,78.5,78.5,11998466
13-12-2019,78.949997,82.099998,78.699997,80.949997,80.949997,22239728
16-12-2019,81.449997,81.699997,79.099998,79.449997,79.449997,12232422
